frequency,amplitude,phase,I,Q
7100000000.0,-13.79741876257959,-0.8102175474005692,0.14078716933727264,-0.1479550451040268
7100250000.0,-13.736704269301246,-0.8267729509785681,0.1392887681722641,-0.1513194888830185
7100500000.0,-13.91050164221287,-0.8196157845856376,0.13758747279644012,-0.14734084904193878
7100750000.0,-13.77462641313808,-0.8159362087050187,0.14030645787715912,-0.1491485983133316
7101000000.0,-13.800195919413872,-0.8170072893336235,0.1397346705198288,-0.1488599330186844
7101250000.0,-13.910614284016853,-0.8392851521403053,0.13466119766235352,-0.15001648664474487
7101500000.0,-13.942668843484329,-0.8192034380826976,0.13713939487934113,-0.146739661693573
7101750000.0,-13.907864691228344,-0.8223743330337068,0.13722215592861176,-0.1477646827697754
7102000000.0,-13.828017576938558,-0.8235462296633194,0.13831456005573273,-0.1492915004491806
7102250000.0,-13.93253022322445,-0.8482840206631717,0.13296985626220703,-0.1508411169052124
7102500000.0,-13.918290671671505,-0.8400867566091086,0.13442204892635345,-0.14999176561832428
7102750000.0,-13.880016670965707,-0.8421556107668072,0.13470371067523956,-0.1509331613779068
7103000000.0,-14.052878358568092,-0.8282952579705777,0.1340874284505844,-0.14611466228961945
7103250000.0,-13.900807215553668,-0.8375067577000482,0.13508020341396332,-0.14994597434997559
7103500000.0,-13.922559734278579,-0.8455996840524935,0.133527472615242,-0.15065647661685944
7103750000.0,-13.958498127463306,-0.8500401643903815,0.13230860233306885,-0.1506234109401703
7104000000.0,-14.150968942064143,-0.8420708835081918,0.13057895004749298,-0.1462864875793457
7104250000.0,-13.954758327004534,-0.8413942185460076,0.13366346061229706,-0.14953823387622833
7104500000.0,-13.891404392836398,-0.8510415945981313,0.13318249583244324,-0.15192484855651855
7104750000.0,-13.979767251576373,-0.8512969192514014,0.13179607689380646,-0.15042078495025635
7105000000.0,-14.035414626850361,-0.85901671190103,0.12979671359062195,-0.150466650724411
7105250000.0,-14.15422608098968,-0.8460047621085361,0.12995372712612152,-0.1467439979314804
7105500000.0,-14.043804517172752,-0.8563277369490194,0.130075141787529,-0.14997215569019318
7105750000.0,-14.112714584715235,-0.8759799246508392,0.12609854340553284,-0.15129421651363373
7106000000.0,-14.146915226529549,-0.8617561198222832,0.1277337521314621,-0.1488979309797287
7106250000.0,-14.040089745643265,-0.8658512982328117,0.1286960244178772,-0.15126879513263702
7106500000.0,-14.225374416291297,-0.8596362067232858,0.1268976628780365,-0.14729031920433044
7106750000.0,-14.252816630725754,-0.8783309926182294,0.12373055517673492,-0.14916475117206573
7107000000.0,-14.203525388242905,-0.872903834694471,0.1252470165491104,-0.14933611452579498
7107250000.0,-14.343660757942319,-0.8714267562380453,0.12345945090055466,-0.1467639058828354
7107500000.0,-14.260904971528403,-0.8989009621294369,0.12052399665117264,-0.1515369713306427
7107750000.0,-14.28598606186635,-0.8973636426357177,0.12040862441062927,-0.15091510117053986
7108000000.0,-14.37118988820471,-0.894995371629245,0.11958684027194977,-0.14915914833545685
7108250000.0,-14.478589636334142,-0.9070649787108322,0.11633054167032242,-0.14874103665351868
7108500000.0,-14.66701122833629,-0.8889108714224631,0.11645758897066116,-0.14345873892307281
7108750000.0,-14.641899089915693,-0.9156514205446938,0.11290620267391205,-0.14694544672966003
7109000000.0,-14.814030660940904,-0.933613468445944,0.10808535665273666,-0.14602692425251007
7109250000.0,-14.853658859167897,-0.93569215122168,0.10729096084833145,-0.1455855518579483
7109500000.0,-15.148519220039633,-0.9368374760723612,0.10354863107204437,-0.14084498584270477
7109750000.0,-15.153348718814595,-0.9606644091892546,0.10010797530412674,-0.1431923806667328
7110000000.0,-15.348215086902737,-0.9722826763505721,0.09625376760959625,-0.14114345610141754
7110250000.0,-15.697902700031603,-0.9912406900628865,0.0898689553141594,-0.13730229437351227
