current,frequency,amplitude,phase,I,Q
-0.0005,7100000000.0,-14.00424646407663,-0.8239755280056165,0.13547374308109283,-0.14635120332241058
-0.0005,7100150000.0,-14.0015745339452,-0.8314552506186753,0.1344166398048401,-0.147405743598938
-0.0005,7100300000.0,-13.958378772469533,-0.8292187874948108,0.13541774451732635,-0.14783814549446106
-0.0005,7100450000.0,-13.964849932866837,-0.8294644745349795,0.13528059422969818,-0.1477612853050232
-0.0005,7100600000.0,-14.029897314661275,-0.8045417074025637,0.13788434863090515,-0.14326724410057068
-0.0005,7100750000.0,-13.996814237748588,-0.8238138264251357,0.13561339676380157,-0.1464545577764511
-0.0005,7100900000.0,-13.921082143664576,-0.8059282807936604,0.13942131400108337,-0.1452668160200119
-0.0005,7101050000.0,-13.85459647913715,-0.8425484820647627,0.13503903150558472,-0.15142859518527985
-0.0005,7101200000.0,-13.939725502774047,-0.8282226364655234,0.13585638999938965,-0.14802071452140808
-0.0005,7101350000.0,-13.909246632269872,-0.8380318963556307,0.13487033545970917,-0.14987120032310486
-0.0005,7101500000.0,-13.953784571020352,-0.841491525825107,0.13366389274597168,-0.14956800639629364
-0.0005,7101650000.0,-13.958064673950567,-0.8443305169441498,0.13317309319972992,-0.14987300336360931
-0.0005,7101800000.0,-13.98263580107522,-0.832728276871493,0.13452187180519104,-0.147898867726326
-0.0005,7101950000.0,-13.914372823125763,-0.8284589346648078,0.13621842861175537,-0.14848558604717255
-0.0005,7102100000.0,-14.076696805870078,-0.8108774068164103,0.13623785972595215,-0.14336343109607697
-0.0005,7102250000.0,-13.885287165273525,-0.821309138804328,0.13773703575134277,-0.14800263941287994
-0.0005,7102400000.0,-13.900450649347356,-0.8259337490351506,0.13681206107139587,-0.14837877452373505
-0.0005,7102550000.0,-13.876374268331142,-0.8367173107275306,0.13557937741279602,-0.15026137232780457
-0.0005,7102700000.0,-14.00064656245007,-0.8164382003674441,0.1366295963525772,-0.14538618922233582
-0.0005,7102850000.0,-13.898138486302972,-0.8436054711910786,0.1342044472694397,-0.15081332623958588
-0.0005,7103000000.0,-13.72107312461447,-0.8285855199319258,0.13926465809345245,-0.15184472501277924
-0.0005,7103150000.0,-13.825760512524779,-0.8477756009377974,0.13469207286834717,-0.1526382863521576
-0.0005,7103300000.0,-14.138739194657665,-0.8496912996162592,0.1296428143978119,-0.14748480916023254
-0.0005,7103450000.0,-13.754331497629932,-0.8323593346238135,0.1381606012582779,-0.1517868936061859
