Current,frequency,amplitude,phase,I,Q
1e-05,4195000000.0,-53.10155386466129,-0.7718941533621587,0.001585599617101252,-0.0015433437656611204
1e-05,4200000000.0,-55.74625839043689,0.02834469386965592,0.0016312202205881476,4.6248824219219387e-05
1e-05,4205000000.0,-51.14485650465704,-0.30671168068963994,0.0026424156967550516,-0.0008368677808903158
1e-05,4210000000.0,-56.35084781628821,-0.7865343866739452,0.0010750993387773633,-0.0010775452246889472
1e-05,4215000000.0,-51.57033166562128,-0.3129433037207808,0.002511082449927926,-0.0008125257445499301
1e-05,4220000000.0,-58.76243069367107,-0.4793103848451587,0.0010231878841295838,-0.0005317861796356738
1e-05,4225000000.0,-52.66928266473278,-0.27702072126203503,0.0022369397338479757,-0.0006360323168337345
1e-05,4230000000.0,-50.82507623109298,0.28468660226668946,0.002759968861937523,0.00080766441533342
1e-05,4235000000.0,-54.07146938531257,-0.21818786014727173,0.0019319948041811585,-0.0004283569287508726
1e-05,4240000000.0,-59.28183342995855,-0.2951931073182957,0.0010392139665782452,-0.00031600124202668667
1e-05,4245000000.0,-55.18478013764695,-0.7059546215601782,0.001324772834777832,-0.001129393931478262
1e-05,4250000000.0,-50.24973966347364,-0.12776008637416644,0.003047606674954295,-0.0003914948902092874
1e-05,4255000000.0,-53.97061451485355,-0.14912912726714334,0.0019798032008111477,-0.00029745468054898083
1e-05,4260000000.0,-53.97344712322686,-0.18815946913722245,0.0019660473335534334,-0.0003743588167708367
1e-05,4265000000.0,-55.42400658574955,0.1055725024642207,0.0016841273754835129,0.00017846105038188398
1e-05,4270000000.0,-56.42246992091892,-0.5995179501843775,0.0012463793391361833,-0.000851812248583883
1e-05,4275000000.0,-50.07272175637429,0.07536582011832064,0.00312701053917408,0.00023611693177372217
1e-05,4280000000.0,-53.79043653846932,-0.09711336109403866,0.002034356351941824,-0.0001981866080313921
1e-05,4285000000.0,-55.285794171977926,0.39270951458449377,0.0015897314297035336,0.0006585077499039471
1e-05,4290000000.0,-51.97377281248067,-0.7178603856822021,0.0018977116560563445,-0.0016572516178712249
1e-05,4295000000.0,-54.191858213762174,-0.42215790152292326,0.0017803297378122807,-0.0007996587664820254
1e-05,4300000000.0,-51.21923640596282,-0.2950551246234607,0.0026293781120330095,-0.0007991375168785453
1e-05,4305000000.0,-50.54136780975668,-0.2109911672846835,0.0029053082689642906,-0.0006222556112334132
1e-05,4310000000.0,-51.4419314466332,-0.647156680570108,0.0021369687747210264,-0.0016149661969393492
1e-05,4315000000.0,-53.31409906360381,-0.7104532746319856,0.0016368250362575054,-0.0014081886038184166
1e-05,4320000000.0,-52.42826253242938,-0.1599038392606821,0.002360536716878414,-0.00038070924347266555
1e-05,4325000000.0,-51.082070730168574,-0.6012456259483275,0.002302271081134677,-0.001579281990416348
1e-05,4330000000.0,-51.44704731017044,-0.6486456276512397,0.002133304951712489,-0.001617193454876542
1e-05,4335000000.0,-56.93035938241575,-0.2166364251483355,0.0013906258391216397,-0.0003060632443521172
1e-05,4340000000.0,-56.45497332963714,-0.22188396365778612,0.0014671406242996454,-0.0003309846215415746
1e-05,4345000000.0,-49.29711794174666,-0.38602607082821694,0.0031764977611601353,-0.0012909829383715987
1e-05,4350000000.0,-51.03810852191291,-0.6202230666566131,0.002283415524289012,-0.001630919985473156
1e-05,4355000000.0,-52.4450375105441,-0.41540448509179156,0.0021834687795490026,-0.0009630665299482644
1e-05,4360000000.0,-52.812106621207164,-0.5661085380695546,0.0019307867623865604,-0.0012269994476810098
1e-05,4365000000.0,-56.65929296303443,-1.0627324136550578,0.0007146711577661335,-0.0012834877707064152
1e-05,4370000000.0,-52.12111794386773,-0.9898674227056654,0.0013594359625130892,-0.0020707424264401197
1e-05,4375000000.0,-51.06141306512861,-0.11572190059992112,0.0027798085939139128,-0.00032312842085957527
1e-05,4380000000.0,-48.0542938809069,-0.04114094060515244,0.003952916711568832,-0.0001627185265533626
1e-05,4385000000.0,-54.44547494538181,-0.6389127397867271,0.0015216110041365027,-0.0011303366627544165
1e-05,4390000000.0,-50.58355305333238,-0.26730991313716007,0.0028517916798591614,-0.0007810035021975636
1e-05,4395000000.0,-55.29709324749896,-0.3240298394676887,0.0016290536150336266,-0.0005471466574817896
1e-05,4400000000.0,-49.74153785563621,0.17966495838404353,0.0032053515315055847,0.0005821668892167509
1e-05,4405000000.0,-54.69134069934606,-0.23154089172588332,0.0017934361239895225,-0.0004228372126817703
1e-05,4410000000.0,-53.947858342216925,-0.6875323022250959,0.001551251858472824,-0.0012738816440105438
1e-05,4415000000.0,-52.05892424153661,-0.3102353975586259,0.0023758013267070055,-0.0007616512011736631
1e-05,4420000000.0,-53.42503916278446,-0.4341581287571361,0.0019340282306075096,-0.0008967380854301155
1e-05,4425000000.0,-50.15547169557958,0.20792779413380405,0.003039273899048567,0.0006412170478142798
1e-05,4430000000.0,-52.436916344947946,-0.4145925005779799,0.0021862932480871677,-0.0009621924837119877
1e-05,4435000000.0,-55.70557710469004,-0.4836737841790786,0.0014514694921672344,-0.0007624414283782244
1e-05,4440000000.0,-51.63925975882396,-0.5653357252496128,0.0022110051941126585,-0.0014026784338057041
1e-05,4445000000.0,-50.01342868473568,-0.34756497076712844,0.002968595828860998,-0.0010754375252872705
1e-05,4450000000.0,-53.50911562315093,-0.7054204650051433,0.0016073938459157944,-0.0013688517501577735
1e-05,4455000000.0,-54.457609951290365,-0.2771153537748165,0.0018206490203738213,-0.0005178540013730526
1e-05,4460000000.0,-53.66542182974147,-0.08484995860073011,0.002066158689558506,-0.00017573541845194995
1e-05,4465000000.0,-52.760755036694846,-0.24316487627546318,0.00223354110494256,-0.0005540828569792211
1e-05,4470000000.0,-49.89897412503411,-0.31779179758290815,0.003039078088477254,-0.0009996758308261633
1e-05,4475000000.0,-54.957131664604674,-0.43820429706870667,0.0016182257095351815,-0.0007582822581753135
1e-05,4480000000.0,-50.4613749631234,-0.07542576640498615,0.0029901620000600815,-0.00022596392955165356
1e-05,4485000000.0,-55.0264216984005,-0.2606305010692514,0.0017130040796473622,-0.0004568526637740433
1e-05,4490000000.0,-49.92305259175896,-0.3624854898188467,0.002983097918331623,-0.0011313194409012794
1e-05,4495000000.0,-52.61372139015003,0.10238180804288596,0.002328272443264723,0.00023920912644825876
