Current,frequency,amplitude,phase,I,Q
-0.001,200000000.0,-57.47737294719911,1.042190387253683,0.0006742891855537891,0.001154514029622078
-0.001,210012515.6445557,-57.504451629076165,1.0572562710185711,0.0006547750672325492,0.0011609165230765939
-0.001,220025031.28911138,-57.69013838713455,1.0760176091426192,0.0006194946472533047,0.0011481858091428876
-0.001,230037546.9336671,-57.25441848959989,1.0383245165438098,0.0006963953492231667,0.0011818490456789732
-0.001,240050062.57822278,-57.368111108391645,1.0890913033422773,0.0006272608297877014,0.0011998564004898071
-0.001,250062578.22277847,-57.46585643623129,1.0603865700177557,0.0006540375761687756,0.001168139511719346
-0.001,260075093.8673342,-57.79639595886148,1.058964548610871,0.0006312144105322659,0.0011236249702051282
-0.001,270087609.5118899,-57.49734667401647,1.0010813838747072,0.0007195106009021401,0.0011232411488890648
-0.001,280100125.15644556,-57.85391440635685,1.0440593577739077,0.0006436153198592365,0.0011067389277741313
-0.001,290112640.80100125,-57.44843321112596,1.0393562493690365,0.0006798197864554822,0.0011564450105652213
-0.001,300125156.44555694,-57.256053069159506,1.0108660863145496,0.0007284433813765645,0.001162065309472382
-0.001,310137672.0901127,-57.24545918264758,1.0468730412696095,0.0006869751960039139,0.0011889847228303552
-0.001,320150187.7346684,-57.38947242392995,1.0701681247886348,0.0006482560420408845,0.0011848550057038665
-0.001,330162703.37922406,-57.37943427828088,1.0409130995754956,0.0006834260420873761,0.0011667335638776422
-0.001,340175219.02377975,-57.48896523849776,1.02823006158942,0.0006894196267239749,0.001143461442552507
-0.001,350187734.66833544,-57.43562781538039,1.0406142267705676,0.0006793653010390699,0.001159006729722023
-0.001,360200250.3128911,-57.39390761653848,1.057341645123571,0.0006630611605942249,0.0011758423643186688
-0.001,370212765.9574468,-57.36439216537245,1.0557487173715314,0.000667196698486805,0.0011787834810093045
-0.001,380225281.6020025,-57.394949836868065,1.067966469680902,0.0006504527991637588,0.0011826788540929556
-0.001,390237797.2465582,-56.99022207763428,1.040699427852733,0.0007150073652155697,0.0012200508499518037
-0.001,400250312.8911139,-57.49769764761719,1.0390278782883737,0.0006763524725101888,0.0011496824445202947
-0.001,410262828.53566957,-57.6322071027247,1.0274074361041319,0.0006790684419684112,0.0011242006439715624
-0.001,420275344.1802253,-57.51133461194209,1.0426299942813992,0.0006711522582918406,0.0011503038695082068
-0.001,430287859.824781,-57.35628944990985,1.0813723992630813,0.0006373705109581351,0.0011966064339503646
-0.001,440300375.4693367,-57.31086745559893,1.0252878758215689,0.0007071325089782476,0.0011650738306343555
-0.001,450312891.1138924,-57.64933634928024,1.0636378394986434,0.0006366447196342051,0.0011457985965535045
