frequency,amplitude,phase,I,Q
7100000000.0,-13.754500652137198,-0.2085103672414532,0.2008005678653717,-0.042486514896154404
7100250000.0,-13.747670274094714,-0.20644700476421454,0.20104584097862244,-0.04210519790649414
7100500000.0,-13.74642884404678,-0.20318831016700184,0.20121073722839355,-0.04145575314760208
7100750000.0,-13.747349405859666,-0.20138151322837292,0.20126397907733917,-0.04108778387308121
7101000000.0,-13.750892761969666,-0.1997814670644575,0.20124734938144684,-0.04074907302856445
7101250000.0,-13.74085709051484,-0.19655100003246995,0.2016107439994812,-0.04014509543776512
7101500000.0,-13.752700289570116,-0.19483667992835965,0.20140446722507477,-0.039745181798934937
7101750000.0,-13.75929321165739,-0.19094065053463727,0.2014048546552658,-0.03893064334988594
7102000000.0,-13.764021302125792,-0.19297146527710157,0.20121581852436066,-0.03931817039847374
7102250000.0,-13.768208786766348,-0.18761329388993184,0.20132651925086975,-0.03822103142738342
7102500000.0,-13.775502359898537,-0.18716039950621863,0.2011748105287552,-0.038097843527793884
7102750000.0,-13.776007237437424,-0.18314020913025925,0.20131464302539825,-0.037286609411239624
7103000000.0,-13.78260748965657,-0.1825942409416241,0.2011820375919342,-0.037148453295230865
7103250000.0,-13.787081283299717,-0.17965022067168837,0.2011868804693222,-0.036537185311317444
7103500000.0,-13.792604851126107,-0.1782264468628279,0.20111076533794403,-0.03622765839099884
7103750000.0,-13.786636122171442,-0.176340400714618,0.20131702721118927,-0.035872932523489
7104000000.0,-13.80371510999236,-0.1733215610552677,0.2010287344455719,-0.03519575297832489
7104250000.0,-13.779702158714475,-0.17216731799118706,0.20162586867809296,-0.03506048768758774
7104500000.0,-13.783820110058995,-0.16896208909674446,0.20164158940315247,-0.03439773991703987
7104750000.0,-13.797525740139921,-0.1657136897885211,0.2014341652393341,-0.03368934616446495
7105000000.0,-13.797858845237593,-0.164511809326518,0.20146678388118744,-0.03344593942165375
7105250000.0,-13.800877399999234,-0.1636261983686475,0.20142631232738495,-0.03325594589114189
7105500000.0,-13.8167608632386,-0.16334126762649084,0.2010677605867386,-0.03313789889216423
7105750000.0,-13.809983774272299,-0.1592751779484027,0.2013578861951828,-0.03234529495239258
7106000000.0,-13.825191989943658,-0.1579799891446485,0.20104728639125824,-0.03202834352850914
7106250000.0,-13.836505783723837,-0.15416476972211046,0.2009061574935913,-0.03122038021683693
7106500000.0,-13.843130602501235,-0.15352080624684036,0.20077303051948547,-0.031067293137311935
7106750000.0,-13.864836575347866,-0.1531807113193532,0.20028245449066162,-0.030921639874577522
7107000000.0,-13.85433842997043,-0.15017147464546018,0.20061692595481873,-0.03035547025501728
7107250000.0,-13.85792920798992,-0.1477868099197679,0.20060579478740692,-0.029864631593227386
7107500000.0,-13.867797727257472,-0.14583449458303052,0.20043586194515228,-0.02943946234881878
7107750000.0,-13.869027710995741,-0.14423231872708955,0.20045438408851624,-0.029114168137311935
7108000000.0,-13.874414212447428,-0.1410238066102577,0.20042243599891663,-0.02845320850610733
7108250000.0,-13.873397633306917,-0.13959135417500707,0.2004864513874054,-0.028169380500912666
7108500000.0,-13.891122397594717,-0.13873288108238616,0.2001018077135086,-0.027940183877944946
7108750000.0,-13.891743007569842,-0.13490777326833905,0.2001929134130478,-0.027172628790140152
7109000000.0,-13.89999356606171,-0.133621444012467,0.20003759860992432,-0.026889538392424583
7109250000.0,-13.90747042012526,-0.13302291805268274,0.19988152384757996,-0.02674677222967148
7109500000.0,-13.920103015901375,-0.13173930448491517,0.1996251493692398,-0.026451680809259415
7109750000.0,-13.924971314716379,-0.12927494274030094,0.19957783818244934,-0.025945106521248817
7110000000.0,-13.940913025622688,-0.1287911718382949,0.19922438263893127,-0.0258011557161808
7110250000.0,-13.94902415634073,-0.1271879495294402,0.1990794986486435,-0.02545793727040291
7110500000.0,-13.967047929544885,-0.12476061899855631,0.19872790575027466,-0.02492286078631878
7110750000.0,-13.982472471717482,-0.12419393552042716,0.19838938117027283,-0.0247662216424942
7111000000.0,-13.989132686950798,-0.12110788444585399,0.19831274449825287,-0.024135351181030273
7111250000.0,-14.00601018711117,-0.1210647958997117,0.19792881608009338,-0.02407997101545334
7111500000.0,-14.025990251643059,-0.11989990315052858,0.19750189781188965,-0.023794591426849365
7111750000.0,-14.025830554996531,-0.11662188224207014,0.19758246839046478,-0.023147474974393845
7112000000.0,-14.05049565525243,-0.11483133434300738,0.19706320762634277,-0.022729022428393364
7112250000.0,-14.0710986084283,-0.11333725574252082,0.19662998616695404,-0.022381417453289032
7112500000.0,-14.090848309417542,-0.11449402069254869,0.19615744054317474,-0.022557508200407028
7112750000.0,-14.119590418059966,-0.11227205985661794,0.19555889070034027,-0.02204851806163788
7113000000.0,-14.125646108663316,-0.11070189418691193,0.19545695185661316,-0.021726278588175774
7113250000.0,-14.154471232101972,-0.1104395612114172,0.19481505453586578,-0.021603191271424294
7113500000.0,-14.168002438605832,-0.11033794059730419,0.19451399147510529,-0.02154979668557644
7113750000.0,-14.206277784007828,-0.10926409517691699,0.19368165731430054,-0.021247072145342827
7114000000.0,-14.248703154118143,-0.11041216235191001,0.19271354377269745,-0.021364808082580566
7114250000.0,-14.258963239483048,-0.10922383442248283,0.19251126050949097,-0.021110834553837776
7114500000.0,-14.31721335511339,-0.10820066347031543,0.191245898604393,-0.02077406644821167
7114750000.0,-14.340345843333013,-0.10764100406260864,0.19074881076812744,-0.020612062886357307
7115000000.0,-14.397588492165463,-0.1083289223245489,0.189481720328331,-0.02060702256858349
7115250000.0,-14.430756943518334,-0.10963627932062356,0.18873253464698792,-0.020775239914655685
7115500000.0,-14.474499272342047,-0.10999395457381497,0.1877770572900772,-0.020738042891025543
7115750000.0,-14.537410696010278,-0.10883544844147766,0.18644563853740692,-0.02037239633500576
7116000000.0,-14.588809760310028,-0.11002353700819205,0.1853214055299759,-0.020472390577197075
7116250000.0,-14.66730947493734,-0.11150546759986514,0.18362382054328918,-0.02056034281849861
7116500000.0,-14.73571557737719,-0.11181659789819014,0.18217700719833374,-0.0204557366669178
7116750000.0,-14.816114988472876,-0.11195926299932477,0.18049560487270355,-0.020293015986680984
7117000000.0,-14.884720745258775,-0.11444893417643748,0.17902489006519318,-0.0205791387706995
7117250000.0,-14.99884739546375,-0.11469645446491027,0.1766829788684845,-0.020354244858026505
7117500000.0,-15.112213624023934,-0.11871237931546615,0.1743098497390747,-0.020790493115782738
7117750000.0,-15.257169433427368,-0.12044271761596316,0.1713893562555313,-0.020742999389767647
7118000000.0,-15.401696169820571,-0.1213015318322815,0.16854357719421387,-0.020545462146401405
7118250000.0,-15.610591823480721,-0.12102785655110361,0.16454394161701202,-0.020012207329273224
7118500000.0,-15.833746918634088,-0.12082264009389591,0.16037437319755554,-0.019471697509288788
7118750000.0,-16.075157098460814,-0.11654089665898067,0.15605805814266205,-0.018269933760166168
7119000000.0,-16.382240551246372,-0.11045038706453826,0.15074174106121063,-0.016717519611120224
7119250000.0,-16.749273482691724,-0.09617328585537725,0.144718736410141,-0.013961146585643291
7119500000.0,-17.13966736872329,-0.07150392331239593,0.13864539563655853,-0.009930619969964027
7119750000.0,-17.542897449549216,-0.03220776824101454,0.13262635469436646,-0.004273076541721821
7120000000.0,-17.891301219668282,0.030752036044600275,0.1274176388978958,0.003919587470591068
7120250000.0,-18.039713171341553,0.1091734641253684,0.12457217276096344,0.013654266484081745
7120500000.0,-17.97531821042019,0.19121038210885627,0.12394985556602478,0.023993628099560738
7120750000.0,-17.634886662950866,0.2684014088711315,0.12659630179405212,0.034818775951862335
7121000000.0,-17.147253392077538,0.32085288745782703,0.13179178535938263,0.04379918426275253
7121250000.0,-16.620149822788225,0.3503494727909873,0.13860376179218292,0.05064922198653221
7121500000.0,-16.11948835002035,0.362076866029797,0.146188423037529,0.05537264049053192
7121750000.0,-15.676135756211806,0.3603576769321728,0.1539439707994461,0.058007821440696716
7122000000.0,-15.36311042872972,0.34969023373238645,0.16022545099258423,0.058430615812540054
7122250000.0,-15.070648733684441,0.33603815603870013,0.16652178764343262,0.05816364660859108
7122500000.0,-14.841238856635687,0.32415913369504573,0.17167586088180542,0.05768509581685066
7122750000.0,-14.691719843202742,0.31077304332101,0.17542658746242523,0.056343525648117065
7123000000.0,-14.53521058269297,0.29798916749400556,0.17933498322963715,0.05507993698120117
7123250000.0,-14.440436769650326,0.28542666346354695,0.1819876730442047,0.05340227112174034
7123500000.0,-14.364638708776877,0.27496236063153046,0.18413640558719635,0.05194634944200516
7123750000.0,-14.29091970823119,0.26521244448511505,0.1862078160047531,0.05057602748274803
7124000000.0,-14.228073287834004,0.25679605296966984,0.18798211216926575,0.04936293140053749
7124250000.0,-14.172879879139549,0.24958541495108474,0.18953371047973633,0.04831220954656601
7124500000.0,-14.123592134644525,0.24367279788963153,0.19089621305465698,0.04745927453041077
7124750000.0,-14.090975016243167,0.24032849573699772,0.19177265465259552,0.046996746212244034
7125000000.0,-14.08599547034575,0.23180425983879416,0.1922764927148819,0.04538635537028313
7125250000.0,-14.045402354175318,0.22777816188261638,0.19335921108722687,0.04482084512710571
7125500000.0,-14.027458282447183,0.22483249724349627,0.1938905417919159,0.04434259235858917
7125750000.0,-14.013560929610643,0.22182242521581969,0.19433382153511047,0.04382883757352829
7126000000.0,-13.99242186199475,0.21592502629640337,0.19506306946277618,0.042786020785570145
7126250000.0,-13.973151373121187,0.21516954557549908,0.19552865624427795,0.04273334518074989
7126500000.0,-13.943101051999395,0.21212384861348935,0.19633598625659943,0.04228366166353226
7126750000.0,-13.945468680773377,0.2110034785922048,0.19632971286773682,0.04205220192670822
7127000000.0,-13.924821625019767,0.20892158698559302,0.19688428938388824,0.0417424812912941
7127250000.0,-13.927453900505268,0.20899173516803726,0.19682170450687408,0.04174363985657692
7127500000.0,-13.917459442876286,0.20769745420766347,0.19710223376750946,0.04153662919998169
7127750000.0,-13.920840778165012,0.2062814573071963,0.19708411395549774,0.04124143347144127
7128000000.0,-13.906434278851279,0.20549474288389358,0.19744370877742767,0.04115457460284233
7128250000.0,-13.914341884870538,0.20652020039654467,0.1972217708826065,0.04131938889622688
7128500000.0,-13.901629413140988,0.20709059226215956,0.1974869966506958,0.041492559015750885
7128750000.0,-13.898196261799583,0.20657424327608384,0.19758647680282593,0.04140694439411163
7129000000.0,-13.884391711268078,0.20688683890761514,0.19788777828216553,0.0415346659719944
7129250000.0,-13.883875944610049,0.20801299393099892,0.19785262644290924,0.04175997152924538
7129500000.0,-13.888650657527403,0.20756271634065768,0.19776266813278198,0.041647978127002716
7129750000.0,-13.876514499805264,0.2095114420698967,0.19795753061771393,0.04209205508232117
7130000000.0,-13.86472212342218,0.20970198022846462,0.198218435049057,0.04218700900673866
7130250000.0,-13.884189600816585,0.21187563341375756,0.1976827085018158,0.042522355914115906
7130500000.0,-13.880150107154313,0.2139768227809295,0.19768483936786652,0.042957603931427
7130750000.0,-13.857678039642888,0.21417400669478126,0.19818845391273499,0.04310796782374382
7131000000.0,-13.853395636717377,0.21621908893772668,0.19819757342338562,0.043534647673368454
7131250000.0,-13.859186365114873,0.2154115177431679,0.19810055196285248,0.04334566742181778
7131500000.0,-13.855697903615498,0.21724142589527895,0.19810044765472412,0.04372565820813179
7131750000.0,-13.856656720572474,0.22032230830002592,0.19794294238090515,0.04433088004589081
7132000000.0,-13.857431570788975,0.22116719139325092,0.19788776338100433,0.044494133442640305
7132250000.0,-13.865090782115416,0.22422348276039034,0.19757655262947083,0.045058976858854294
7132500000.0,-13.86818366183294,0.22599887744224115,0.1974259316921234,0.04539351537823677
7132750000.0,-13.862371658673528,0.22884262108700815,0.19742810726165771,0.045985519886016846
7133000000.0,-13.88123517444318,0.23093124700636852,0.1969035416841507,0.046297118067741394
7133250000.0,-13.865375069234794,0.2324572398886998,0.19719240069389343,0.046682700514793396
7133500000.0,-13.870038958960594,0.23514207380778057,0.19696056842803955,0.04718661680817604
7133750000.0,-13.882100069953848,0.2368074639632342,0.1966085135936737,0.04744863510131836
7134000000.0,-13.883579260718884,0.23916685094451934,0.19646255671977997,0.04790421947836876
7134250000.0,-13.892060363976872,0.2427761931815301,0.19609680771827698,0.048565562814474106
7134500000.0,-13.890233823217528,0.2460675482712662,0.1959771066904068,0.04922107234597206
7134750000.0,-13.885824084089496,0.2490866820214345,0.19592705368995667,0.04983782395720482
7135000000.0,-13.87835925280887,0.25215056361460575,0.195941761136055,0.05048125237226486
7135250000.0,-13.903446606335413,0.25382349433341783,0.1952921599149704,0.050662439316511154
7135500000.0,-13.897404195900167,0.25776426729533947,0.1952267587184906,0.05146743729710579
7135750000.0,-13.890942670662312,0.26015383067044257,0.19524841010570526,0.05197244510054588
7136000000.0,-13.892991539016762,0.26343377996976297,0.19503088295459747,0.052600160241127014
7136250000.0,-13.882614623563935,0.26473217088489015,0.19519548118114471,0.052916523069143295
7136500000.0,-13.89798918972268,0.26967095801544094,0.19458702206611633,0.05378461629152298
7136750000.0,-13.900153530767072,0.27168948532990633,0.19442960619926453,0.05416378751397133
7137000000.0,-13.90912570250891,0.27458319442598556,0.19407148659229279,0.05466968193650246
7137250000.0,-13.885943095824366,0.2761823028389182,0.19450224936008453,0.055126890540122986
7137500000.0,-13.88896795784124,0.28012548630493705,0.19421571493148804,0.05587395653128624
7137750000.0,-13.893851846823937,0.2818554418316482,0.19400964677333832,0.0561782605946064
7138000000.0,-13.886147901977905,0.28592448851599084,0.19395139813423157,0.05701777711510658
7138250000.0,-13.879890113335962,0.28983917541751725,0.1938663274049759,0.05781823769211769
7138500000.0,-13.890167801107324,0.29122330594428286,0.19355694949626923,0.058017827570438385
7138750000.0,-13.894774036456813,0.2945583685430541,0.19325986504554749,0.05863192677497864
7139000000.0,-13.884030214439607,0.2978867088898924,0.19330260157585144,0.059348199516534805
7139250000.0,-13.884618467051089,0.301020852339667,0.19310256838798523,0.059949684888124466
7139500000.0,-13.905514406933984,0.3039666054589647,0.19246156513690948,0.060372840613126755
7139750000.0,-13.875435755407402,0.30653561601081447,0.19297292828559875,0.06107822060585022
7140000000.0,-13.881588613583384,0.3077568159263557,0.1927616000175476,0.06127041578292847
7140250000.0,-13.873897425928185,0.3133387526920537,0.19258704781532288,0.06240066885948181
7140500000.0,-13.88954015244795,0.3138734944695345,0.1922071874141693,0.06239118054509163
7140750000.0,-13.867432895025754,0.31770605242498223,0.19245587289333344,0.06328824162483215
7141000000.0,-13.860592065775563,0.32193247119108703,0.19233809411525726,0.0641515776515007
7141250000.0,-13.865427957574184,0.3243827566460578,0.19207336008548737,0.06458669900894165
7141500000.0,-13.850154711980158,0.32570338245251645,0.19232578575611115,0.06495441496372223
7141750000.0,-13.851969271643721,0.3302022224253513,0.19199150800704956,0.06580524891614914
7142000000.0,-13.856179394787425,0.3334329128519759,0.19168497622013092,0.06639298051595688
7142250000.0,-13.831201624586516,0.33380135035977176,0.19221244752407074,0.0666550025343895
7142500000.0,-13.828002612988248,0.33649351852747755,0.1921030431985855,0.06719697266817093
7142750000.0,-13.843335607573566,0.34115999402391195,0.1914491206407547,0.0679725855588913
7143000000.0,-13.821144356145611,0.3407656699258413,0.1919657289981842,0.06807077676057816
7143250000.0,-13.810520983321828,0.3447003140836768,0.19193100929260254,0.06890979409217834
7143500000.0,-13.826221467040847,0.34752145723321803,0.19138957560062408,0.06932555884122849
7143750000.0,-13.827033581585074,0.34993247128861965,0.1912039965391159,0.06978027522563934
7144000000.0,-13.80731108552429,0.3500877021174441,0.19162778556346893,0.06996864825487137
7144250000.0,-13.802570031090315,0.35519963834785645,0.19137203693389893,0.0709860548377037
7144500000.0,-13.785718149082832,0.3583103912675352,0.1915215104818344,0.07172003388404846
7144750000.0,-13.79567979069709,0.36051933589939894,0.19114327430725098,0.072060227394104
7145000000.0,-13.777166212270782,0.36169496112923205,0.1914660930633545,0.07243912667036057
7145250000.0,-13.772251016049864,0.36396079185090263,0.19140975177288055,0.0729140192270279
7145500000.0,-13.767907341361846,0.3669542348226407,0.19128626585006714,0.07352342456579208
7145750000.0,-13.755097453586103,0.368151613573641,0.19148027896881104,0.073861263692379
7146000000.0,-13.767609630094505,0.37142899415383546,0.19096189737319946,0.07438119500875473
7146250000.0,-13.751457791454289,0.3724444283343099,0.1912415623664856,0.07471387088298798
7146500000.0,-13.73900890833786,0.3746625769534938,0.19134941697120667,0.07524565607309341
7146750000.0,-13.728179363673013,0.3769705857696076,0.1914137452840805,0.07578151673078537
7147000000.0,-13.736173188104477,0.37857243963752557,0.19111613929271698,0.07601804286241531
7147250000.0,-13.725343268518774,0.3806497788593636,0.19119605422019958,0.0765102282166481
7147500000.0,-13.729638445696859,0.3832660770395432,0.1909008026123047,0.0769721195101738
7147750000.0,-13.706973351465617,0.38413234534784263,0.19133266806602478,0.07733900845050812
7148000000.0,-13.69862635643375,0.3856827659478159,0.19139637053012848,0.07771020382642746
7148250000.0,-13.714005078063003,0.3898325957859578,0.19073423743247986,0.07836492359638214
7148500000.0,-13.698337336875026,0.390638793023207,0.19101524353027344,0.07866042852401733
7148750000.0,-13.688917359636246,0.3936843277674339,0.19098180532455444,0.079327791929245
7149000000.0,-13.683149191666349,0.39445871657957143,0.19104714691638947,0.07952845841646194
7149250000.0,-13.694715276736037,0.3972376522589854,0.19057147204875946,0.07995252311229706
7149500000.0,-13.695448632657069,0.39931547438589604,0.19038885831832886,0.08034154027700424
7149750000.0,-13.686380895362547,0.400315433776548,0.1905072033405304,0.08061599731445312
7150000000.0,-13.671480228713541,0.40080230695439,0.1907949596643448,0.08084731549024582
