frequency,amplitude,phase,I,Q
10000000.0,-0.08965620133600923,-1.0013682048645152,0.5336139798164368,-0.8335608243942261
11598000.0,-0.03574923277537362,-0.15074161929484076,0.984599232673645,-0.14955458045005798
13196000.0,-0.061672591509597474,0.6977677145067743,0.7608568072319031,0.6379628777503967
14794000.0,-0.04799187431221835,1.547047365492119,0.0236158836632967,0.9942095279693604
16392000.0,-0.06939031522028823,2.395481335369594,-0.7284908890724182,0.6733871698379517
17990000.0,-0.073937294740855,3.243961766215829,-0.9863330125808716,-0.10132422298192978
19588000.0,-0.052883040751345964,4.091231110275432,-0.5784446001052856,-0.8082690834999084
21186000.0,-0.05554258139140614,4.938492441263405,0.2227528989315033,-0.9683353900909424
22784000.0,-0.07000768051957339,5.78572407685959,0.871742308139801,-0.47336530685424805
24382000.0,-0.0743248799898555,6.63304413575039,0.9314168095588684,0.339844673871994
25980000.0,-0.07869659612801964,7.4801616091678325,0.36188066005706787,0.9225426912307739
27578000.0,-0.07891632891630995,8.327037329936598,-0.45148780941963196,0.8821290731430054
29176000.0,-0.07413369147598195,9.174243688150808,-0.9605467915534973,0.24581459164619446
30774000.0,-0.07542880714905811,10.021344942120523,-0.8201162219047546,-0.5569481253623962
32372000.0,-0.10005512523774045,10.868426338508435,-0.12535330653190613,-0.9805668592453003
33970000.0,-0.09709053232117121,11.715569647338578,0.6520516872406006,-0.7434518933296204
35568000.0,-0.11159736467489534,12.562724041721495,0.9872274994850159,-0.003600012743845582
37166000.0,-0.11119811728733921,13.40987683888365,0.6563906073570251,0.7374768257141113
38764000.0,-0.11144104210145003,14.257043431643835,-0.11806503683328629,0.9801667332649231
40362000.0,-0.10058584797620487,15.10417663867618,-0.8137137293815613,0.5612266659736633
41960000.0,-0.11263959488923003,15.951480277584906,-0.9579917192459106,-0.2380107045173645
43558000.0,-0.1084619205921242,16.798735303515524,-0.4560700058937073,-0.8759766817092896
45156000.0,-0.12489157748305532,17.645687760801376,0.35362833738327026,-0.9201082587242126
46754000.0,-0.12440305010139652,18.492711572943676,0.9236792922019958,-0.3443516790866852
48352000.0,-0.12965008099846226,19.339811206362494,0.8691421151161194,0.4638751447200775
49950000.0,-0.1392231278779218,20.186289198423637,0.22824376821517944,0.95726478099823
51548000.0,-0.14833278905907277,21.032814446353466,-0.5651496648788452,0.8043802976608276
53146000.0,-0.170040938565532,21.8790236649228,-0.9744560122489929,0.10972098261117935
54744000.0,-0.14484591400011934,22.726372744277977,-0.729414701461792,-0.6596606969833374
56342000.0,-0.1362702897420477,23.57353514752958,0.011409573256969452,-0.9843676090240479
57940000.0,-0.13598405238128422,24.42094356871884,0.7454268336296082,-0.6430493593215942
59538000.0,-0.13043204743978856,25.268148452208905,0.9760785102844238,0.1329818218946457
61136000.0,-0.12843316038093383,26.115156499415676,0.5468687415122986,0.8196308612823486
62734000.0,-0.13690244595576337,26.962206437325694,-0.25179386138916016,0.9516136646270752
64332000.0,-0.14801495256705152,27.80957708780148,-0.8788263201713562,0.44063231348991394
65930000.0,-0.13865061276804125,28.656347216116593,-0.9132214784622192,-0.3668859302997589
67528000.0,-0.14109859096392946,29.503257877557196,-0.32984963059425354,-0.9269477725028992
69126000.0,-0.15425468006488513,30.350505977585648,0.4756142795085907,-0.8595905900001526
70724000.0,-0.14895355248990266,31.197496444986193,0.9596401453018188,-0.21301284432411194
72322000.0,-0.14604205734519313,32.04438244630033,0.7954487204551697,0.5780943036079407
73920000.0,-0.15224930801977712,32.89142810623718,0.09349729120731354,0.9781661033630371
75518000.0,-0.15450788002211943,33.738442964322374,-0.6708561182022095,0.7176355123519897
77116000.0,-0.13910119235347296,34.58545101732107,-0.9837290644645691,-0.027484498918056488
78714000.0,-0.13316810140657764,35.432434227573964,-0.6313085556030273,-0.7558119893074036
80312000.0,-0.13248542511454703,36.279373445904845,0.1482061892747879,-0.9736475944519043
81910000.0,-0.14122719645125498,37.126301643527874,0.8268275856971741,-0.5332545638084412
83508000.0,-0.13924236435657064,37.973448537443204,0.9472967386245728,0.26660022139549255
85106000.0,-0.13659668820065507,38.820254899317256,0.4278712868690491,0.8865455985069275
86704000.0,-0.13941325799516313,39.66706356273621,-0.3806379735469818,0.9074819087982178
88302000.0,-0.1482249456225775,40.51400366894939,-0.9310809969902039,0.31549006700515747
89900000.0,-0.16296649296277982,41.36103031939537,-0.8515298366546631,-0.48792195320129395
91498000.0,-0.15760303681510854,42.207858430718964,-0.19860133528709412,-0.9617269039154053
93096000.0,-0.15495142122770564,43.05467733189863,0.5891361236572266,-0.7860462665557861
94694000.0,-0.15786033331075555,43.90164345110116,0.9787976145744324,-0.07911527156829834
96292000.0,-0.16592253729610945,44.748594183917525,0.706851065158844,0.6803507208824158
97890000.0,-0.1751102575455889,45.595822525411165,-0.04186350107192993,0.9791470170021057
99488000.0,-0.17606291616581363,46.44299231139966,-0.7614166736602783,0.6168593168258667
101086000.0,-0.18150449306963554,47.29000616324144,-0.9658393859863281,-0.16193397343158722
102684000.0,-0.19434680177331698,48.13735013635667,-0.5172238945960999,-0.8298891186714172
104282000.0,-0.20900215570858124,48.98480921791053,0.2792688310146332,-0.935427188873291
105880000.0,-0.20697782520878544,49.831342556470524,0.8858690857887268,-0.4107254445552826
107478000.0,-0.19544629223688367,50.67800338062917,0.8957292437553406,0.3919994533061981
109076000.0,-0.18494914893546943,51.52475839671295,0.30004873871803284,0.9318147301673889
110674000.0,-0.1810690719698416,52.37141562496433,-0.49943801760673523,0.8424524664878845
