power,frequency,amplitude,phase,I,Q
-0.004,7204000000.0,3.9846262956757124,-1.5610852432664,0.015363571234047413,-1.582015872001648
-0.004,7204160000.0,3.822844121962138,-1.5444440712575511,0.04091756045818329,-1.552356243133545
-0.004,7204320000.0,3.748097786147402,-1.546326850119325,0.03766918554902077,-1.5391284227371216
-0.004,7204480000.0,3.8696913321297464,-1.5314638034172927,0.06139378249645233,-1.5600860118865967
-0.004,7204640000.0,3.7526108268945295,-1.5319839247442615,0.059771206229925156,-1.539229393005371
-0.004,7204800000.0,3.8087645976508004,-1.4999497863747038,0.10974721610546112,-1.546491026878357
-0.004,7204960000.0,3.7950497348205454,-1.4963826917468213,0.11508113145828247,-1.5436503887176514
-0.004,7205120000.0,3.8466658350757674,-1.4968949024652223,0.11497163772583008,-1.5529099702835083
-0.004,7205280000.0,3.781309332843628,-1.493901015616045,0.11872365325689316,-1.5409204959869385
-0.004,7205440000.0,3.7664492823913904,-1.4776573893174276,0.14349132776260376,-1.5361584424972534
-0.004,7205600000.0,3.758494420903946,-1.452895136093635,0.1813160628080368,-1.5307321548461914
-0.004,7205760000.0,3.6366861748459183,-1.4695931086148362,0.15356315672397614,-1.512190341949463
-0.004,7205920000.0,3.721381852623601,-1.4497477884055379,0.1853393018245697,-1.523629903793335
-0.004,7206080000.0,3.786492814705663,-1.4365988184105292,0.20690204203128815,-1.5325062274932861
-0.004,7206240000.0,3.870360545685969,-1.4377771371878003,0.20708604156970978,-1.5476202964782715
-0.004,7206400000.0,3.919879627180827,-1.4338253054318588,0.21441929042339325,-1.5556334257125854
-0.004,7206560000.0,3.769726792790777,-1.4314966594994485,0.2143043428659439,-1.528477430343628
-0.004,7206720000.0,3.7694437414060076,-1.4258451481234349,0.22293181717395782,-1.5271921157836914
-0.004,7206880000.0,3.794582106909981,-1.4046898874832874,0.25592729449272156,-1.5265462398529053
-0.004,7207040000.0,3.8636667844871604,-1.4115610110438002,0.24739211797714233,-1.5404725074768066
-0.004,7207200000.0,3.6651343470152407,-1.407698586646988,0.24761532247066498,-1.5047162771224976
-0.004,7207360000.0,3.7744904181272383,-1.3983311435538281,0.26501524448394775,-1.5213648080825806
-0.004,7207520000.0,3.754828066535741,-1.4048492566943325,0.25451645255088806,-1.5196160078048706
-0.004,7207680000.0,3.704241382171394,-1.3968326363129286,0.26514163613319397,-1.5087144374847412
-0.004,7207840000.0,3.839132832403547,-1.3943209417363531,0.2731392979621887,-1.5316463708877563
-0.004,7208000000.0,3.699362696341311,-1.3835264932650109,0.28503260016441345,-1.5042078495025635
-0.004,7208160000.0,3.6725856021676524,-1.396010569075358,0.26541274785995483,-1.503008246421814
-0.004,7208320000.0,3.65287871859074,-1.3762988457969985,0.2943176329135895,-1.4940911531448364
-0.004,7208480000.0,3.7830665809965485,-1.3849762021510057,0.28559058904647827,-1.5191892385482788
-0.004,7208640000.0,3.776451649700986,-1.3959069560153274,0.2687632143497467,-1.5210613012313843
